rank,cluster_id,cluster_score,cluster_title,articles_count,unique_urls,outlets,products,primary_tags,representative_url
24,C010,10.35,"Perfil: 15 cosas que hay que saber del “Niño Guerrero”, el abatido líder del Tren de Aragua (y sus redes en Chile)",1,1,Ex-Ante,nacional,sector:politica_estado; sector:infraestructura_concesiones; product:regiones; product:nacional; region:Metropolitana; source:normal_scrape; sector:justicia_seguridad; region:Atacama,https://www.ex-ante.cl/perfil-15-cosas-que-hay-que-saber-del-nino-guerrero-el-abatido-lider-del-tren-de-aragua-y-sus-redes-en-chile
25,C021,10.35,Instituto Nacional vuelve a suspender clases presenciales tras amenazas de tiroteo: Desbordes acusa que SLEP no ha actuado “con la fuerza que se necesita”,2,1,The Clinic,nacional; regiones,product:regiones; source:normal_scrape; sector:justicia_seguridad; region:Metropolitana; sector:salud_educacion_social; sector:politica_estado; sector:infraestructura_concesiones; sector:empresas_finanzas,https://www.theclinic.cl/2026/06/13/instituto-nacional-vuelve-a-suspender-clases-presenciales-tras-amenazas-de-tiroteo-desbordes-acusa-que-slep-no-ha-actuado-con-la-fuerza-que-se-necesita
26,C023,10.35,"Nuevos enlaces, ciclovías y terceras pistas: los cambios del tramo de la Ruta 5 de Río Bueno-Puerto Montt tras la adjudicación de la concesión por US$ 821 millones",2,1,The Clinic,biz; regiones,sector:infraestructura_concesiones; sector:empresas_finanzas; region:Los Lagos; sector:tecnologia_telecom; sector:politica_estado; source:normal_scrape; sector:salud_educacion_social; sector:economia_macro,https://www.theclinic.cl/2026/06/13/nuevos-enlaces-ciclovias-y-terceras-pistas-los-cambios-del-tramo-de-la-ruta-5-de-rio-bueno-puerto-montt-tras-la-adjudicacion-de-la-concesion-por-us-821-millones
27,C024,10.35,"“Lo más importante es volver el foco a la prevención, más que a la sanción”: Gobierno prepara cambios por vía administrativa a la Ley Karin",2,1,The Clinic,biz; nacional,product:regiones; source:normal_scrape; sector:politica_estado; sector:empresas_finanzas; sector:laboral_gobernanza; sector:infraestructura_concesiones; sector:economia_macro; region:Biobío,https://www.theclinic.cl/2026/06/13/lo-mas-importante-es-volver-el-foco-a-la-prevencion-mas-que-a-la-sancion-gobierno-prepara-cambios-por-via-administrativa-a-la-ley-karin
28,C027,10.35,"Personas en situación de autopista: miles de personas duermen en zonas aledañas a autopistas, un refugio donde el riesgo es morir atropellado | The Clinic",2,1,The Clinic,nacional; regiones,product:regiones; sector:salud_educacion_social; sector:justicia_seguridad; sector:infraestructura_concesiones; source:normal_scrape; product:nacional; sector:politica_estado; region:Metropolitana,https://www.theclinic.cl/2026/06/13/personas-en-situacion-de-autopista-648-personas-duermen-en-dos-autopistas-de-santiago-un-refugio-donde-el-riesgo-es-morir-atropellado
29,C069,10.25,¿Peligraban el Festival del Choclo y otras fiestas? Concejo de Arica aprueba contratación de guardias privados con debate por nueva ley,2,1,Elmorrocotudo,nacional; regiones,product:regiones; region:La Araucanía; region:Atacama; region:Valparaíso; source:normal_scrape; sector:politica_estado; product:biz; sector:empresas_finanzas; cultura,https://www.elmorrocotudo.cl/noticia/cultura/peligraban-el-festival-del-choclo-y-otras-fiestas-concejo-de-arica-aprueba-contratac
30,C020,10.2,“Se ha transformado en un soldado de la batalla ideológica y cultural”: figuras de la oposición le salen al cruce a Quiroz tras sus dichos sobre Boric y el CAE,1,1,The Clinic,nacional,sector:economia_macro; sector:politica_estado; product:nacional; product:regiones; source:normal_scrape; sector:empresas_finanzas; sector:salud_educacion_social; sector:laboral_gobernanza,https://www.theclinic.cl/2026/06/13/se-ha-transformado-en-un-soldado-de-la-batalla-ideologica-y-cultural-figuras-de-la-oposicion-le-salen-al-cruce-a-quiroz-tras-sus-dichos-sobre-boric-y-el-cae
31,C025,10.2,La arremetida de Quiroz contra Boric por el cobro del CAE: “Por algún motivo al expresidente no le gusta que se paguen las deudas”,1,1,The Clinic,nacional,sector:empresas_finanzas; sector:politica_estado; source:normal_scrape; product:nacional; sector:economia_macro; product:regiones; sector:salud_educacion_social; sector:tecnologia_telecom,https://www.theclinic.cl/2026/06/13/la-arremetida-de-quiroz-contra-boric-por-el-cobro-del-cae-por-algun-motivo-al-expresidente-no-le-gusta-que-se-paguen-las-deudas
32,C067,9.9,"Fotos | NASA pone sus ojos en Arica con El Gran Encuentro del Desierto: ""El primer paso es Chile y el siguiente la Luna""",2,1,Elmorrocotudo,biz; regiones,source:normal_scrape; region:Magallanes; product:biz; sector:economia_macro; region:Los Lagos; sector:laboral_gobernanza; region:Valparaíso; sector:politica_estado; tecnologia,https://www.elmorrocotudo.cl/noticia/tecnologia/fotos-nasa-pone-sus-ojos-en-arica-con-el-gran-encuentro-del-desierto-el-primer-pa
33,C070,9.9,$3.900 millones destrabaron una crisis silenciosa en el Hospital de Arica: ¿Qué habría pasado sin estos recursos?,2,1,Elmorrocotudo,nacional; regiones,sector:politica_estado; sector:salud_educacion_social; source:normal_scrape; product:regiones; sector:empresas_finanzas; sector:infraestructura_concesiones; sector:economia_macro; sector:laboral_gobernanza; salud,https://www.elmorrocotudo.cl/noticia/salud/3900-millones-destrabaron-una-crisis-silenciosa-en-el-hospital-de-arica-que-habria-pas
34,C074,9.9,"Lo que Arica necesita: Experta apunta a la atención turística como ""el talón de Aquiles""",2,1,Elmorrocotudo,biz; regiones,region:Valparaíso; region:Atacama; region:Antofagasta; source:normal_scrape; region:Los Lagos; sector:politica_estado; sector:justicia_seguridad; sector:empresas_finanzas; economia_negocios,https://www.elmorrocotudo.cl/noticia/economia/lo-que-arica-necesita-experta-apunta-la-atencion-turistica-como-el-talon-de-aquiles
35,C149,9.9,"Francisco Undurraga: âYo tampoco como ministro hubiese deseado generar ajustes, pero estÃ¡n en una lÃnea coherenteâ",2,1,Diarioconcepcion,nacional; regiones,product:regiones; sector:politica_estado; source:normal_scrape; sector:salud_educacion_social; sector:tecnologia_telecom; sector:empresas_finanzas; sector:justicia_seguridad; sector:economia_macro; cultura,https://www.diarioconcepcion.cl/cultura/2026/06/13/francisco-undurraga-yo-tampoco-como-ministro-hubiese-deseado-generar-ajustes-pero-estan-en-una-linea-coherente.html
36,C178,9.9,Exalcalde Fernando Paredes confía en su absolución tras avance del caso Luminarias LED,2,1,Itvpatagonia,nacional; regiones,source:normal_scrape; product:regiones; sector:justicia_seguridad; sector:infraestructura_concesiones; sector:politica_estado; sector:empresas_finanzas; region:Metropolitana; region:Biobío; regiones,https://www.itvpatagonia.com/noticias/regional/12-06-2026/exalcalde-fernando-paredes-confia-en-su-absolucion-tras-avance-del-caso-luminarias-led
37,C019,9.85,Identificar y eliminar solo células con mutaciones: la innovadora técnica que busca combatir hasta los cánceres más difíciles,1,1,The Clinic,nacional,source:normal_scrape; product:regiones; sector:salud_educacion_social; sector:justicia_seguridad; sector:laboral_gobernanza; region:Valparaíso; sector:tecnologia_telecom; sector:mineria_energia,https://www.theclinic.cl/2026/06/13/identificar-y-eliminar-solo-celulas-con-mutaciones-la-innovadora-tecnica-que-busca-combatir-hasta-los-canceres-mas-dificiles
38,C022,9.85,"Quién es Carolyn Rodrigues-Birkett, la nueva contrincante de Michelle Bachelet en la carrera por la secretaría general de Naciones Unidas",1,1,The Clinic,nacional,noise:deportes; sector:empresas_finanzas; product:regiones; product:biz; sector:economia_macro; sector:ma_distress; source:normal_scrape; sector:politica_estado,https://www.theclinic.cl/2026/06/13/quien-es-carolyn-rodrigues-birkett-la-nueva-contrincante-de-michelle-bachelet-en-la-carrera-por-la-secretaria-general-de-naciones-unidas
39,C026,9.85,"¿Por qué algunos gimnasios se quedaron sin músculo?: el dilema que desató en la industria los cierres de Energy, Pacific y CardioPilates",1,1,The Clinic,biz,sector:empresas_finanzas; source:normal_scrape; sector:politica_estado; sector:justicia_seguridad; sector:salud_educacion_social; sector:laboral_gobernanza; sector:ma_distress; sector:mineria_energia,https://www.theclinic.cl/2026/06/13/por-que-algunos-gimnasios-se-quedaron-sin-musculo-el-dilema-que-desato-en-la-industria-los-cierres-de-energy-pacific-y-cardiopilates
40,C175,9.75,Temporal deja embarcaciones destruidas en Barranco Amarillo y reaviva demanda por una posada de abrigo,1,1,Itvpatagonia,regiones,sector:empresas_finanzas; product:regiones; region:Magallanes; sector:infraestructura_concesiones; sector:justicia_seguridad; sector:tecnologia_telecom; source:normal_scrape; sector:politica_estado; regiones,https://www.itvpatagonia.com/noticias/regional/13-06-2026/temporal-deja-embarcaciones-destruidas-en-barranco-amarillo-y-reaviva-demanda-por-una-posada-de-abrigo
41,C073,9.6,"El nuevo desafío de los hogares chilenos: no es falta de disciplina, es falta de capacidad de ahorro",2,1,Elmorrocotudo,biz; nacional,product:regiones; source:normal_scrape; sector:salud_educacion_social; product:biz; sector:politica_estado; region:Valparaíso; sector:empresas_finanzas; sector:justicia_seguridad; economia_negocios,https://www.elmorrocotudo.cl/noticia/economia/el-nuevo-desafio-de-los-hogares-chilenos-no-es-falta-de-disciplina-es-falta-de-capa
42,C101,9.6,Postulaciones para Kinross: abren vacantes para importantes puestos con postulación 100% online,2,1,Elquehaydecierto,biz; regiones,region:Antofagasta; sector:mineria_energia; sector:laboral_gobernanza; product:regiones; region:Metropolitana; source:normal_scrape; sector:empresas_finanzas; sector:economia_macro; economia_negocios,https://www.elquehaydecierto.cl/noticia/economia/postulaciones-para-kinross-abren-vacantes-para-importantes-puestos-con-postulacion-
43,C050,9.4,Los Ríos contará con el primer robot quirúrgico del sistema público instalado en regiones - Diario San José,1,1,Diariosanjose,regiones,sector:salud_educacion_social; product:regiones; source:normal_scrape; sector:economia_macro; region:Los Ríos; region:Metropolitana; sector:tecnologia_telecom; sector:ma_distress; salud,https://www.diariosanjose.cl/noticia/salud/2026/06/los-rios-contara-con-el-primer-robot-quirurgico-del-sistema-publico-instalado-en-regiones
44,C172,9.4,Hospital Regional de Coyhaique dio a conocer su Cuenta Pública Participativa - Diario Regional Aysén,1,1,Diarioregionalaysen,regiones,source:normal_scrape; sector:justicia_seguridad; sector:salud_educacion_social; product:regiones; region:Biobío; region:Los Ríos; region:Los Lagos; noise:deportes; salud,https://www.diarioregionalaysen.cl/noticia/salud/2026/06/hospital-regional-de-coyhaique-dio-a-conocer-su-cuenta-publica-participativa
45,C173,9.4,Bárbara Hernández recibirá el premio Espíritu Antártico 2026 en Punta Arenas,1,1,Itvpatagonia,regiones,sector:empresas_finanzas; product:regiones; region:Magallanes; sector:laboral_gobernanza; source:normal_scrape; sector:mineria_energia; sector:politica_estado; sector:justicia_seguridad; regiones,https://www.itvpatagonia.com/noticias/regional/13-06-2026/barbara-hernandez-recibira-el-premio-espiritu-antartico-2026-en-punta-arenas
46,C177,9.4,Senda y Carabineros refuerzan estrategia Tolerancia Cero para prevenir accidentes de tránsito en Magallanes,1,1,Itvpatagonia,regiones,product:regiones; sector:justicia_seguridad; source:normal_scrape; region:Magallanes; region:Maule; sector:infraestructura_concesiones; region:Valparaíso; region:Atacama; regiones,https://www.itvpatagonia.com/noticias/regional/13-06-2026/senda-y-carabineros-refuerzan-estrategia-tolerancia-cero-para-prevenir-accidentes-de-transito-en-magallanes
47,C179,9.4,Centro de Rehabilitación Cruz del Sur amplía su gimnasio para fortalecer atención a pacientes,1,1,Itvpatagonia,regiones,region:Magallanes; sector:empresas_finanzas; product:regiones; sector:infraestructura_concesiones; sector:laboral_gobernanza; sector:mineria_energia; sector:medioambiente_permisos; source:normal_scrape; regiones,https://www.itvpatagonia.com/noticias/regional/12-06-2026/centro-de-rehabilitacion-cruz-del-sur-amplia-su-gimnasio-para-fortalecer-atencion-a-pacientes
48,C102,9.25,«No le gusta que se paguen las deudas»: Quiroz criticó a Boric y defendió los embargos por CAE,2,2,Atentos; Miradiols,nacional,sector:politica_estado; product:regiones; sector:empresas_finanzas; sector:economia_macro; source:normal_scrape; product:nacional; sector:salud_educacion_social; sector:laboral_gobernanza; noise:opinion,https://www.miradiols.cl/2026/06/13/no-le-gusta-que-se-paguen-las-deudas-quiroz-critico-a-boric-y-defendio-los-embargos-por-cae
49,C044,9.1,Alerta sanitaria por cuatro casos sospechosos de triquinosis - Diario de Osorno,1,1,Diariodeosorno,regiones,sector:salud_educacion_social; source:normal_scrape; product:regiones; region:Los Lagos; sector:justicia_seguridad; region:Los Ríos; region:Biobío; noise:deportes; salud,https://www.diariodeosorno.cl/noticia/salud/2026/06/alerta-sanitaria-por-cuatro-casos-sospechosos-de-triquinosis
50,C060,9.1,Hombre fue encontrado muerto en una vivienda de Renaico,1,1,Lasnoticiasdemalleco,regiones,source:normal_scrape; sector:justicia_seguridad; product:nacional; region:Maule; region:Biobío; region:La Araucanía; product:biz; region:Valparaíso; seguridad_judicial,https://lasnoticiasdemalleco.cl/policial/hombre-fue-encontrado-muerto-en-una-vivienda-de-renaico
51,C072,9.1,Baños públicos y prevención: la nueva batalla contra la propagación de virus en Chile,1,1,Elmorrocotudo,nacional,product:regiones; sector:medioambiente_permisos; product:biz; salud; source:normal_scrape; sector:salud_educacion_social; sector:politica_estado; sector:infraestructura_concesiones; sector:justicia_seguridad,https://www.elmorrocotudo.cl/noticia/salud/banos-publicos-y-prevencion-la-nueva-batalla-contra-la-propagacion-de-virus-en-chile
52,C095,9.1,Ali asume presidencia de Asociación Nacional de Ciudades Puerto,2,1,Diariolaregion,nacional; regiones,source:normal_scrape; region:Maule; product:regiones; region:Valparaíso; sector:politica_estado; sector:empresas_finanzas; region:Tarapacá; sector:infraestructura_concesiones,https://www.diariolaregion.cl/ali-asume-presidencia-de-asociacion-nacional-de-ciudades-puerto
53,C103,9.1,«48% de posibilidad de que sea muy fuerte»: Confirman llegada de El Niño a la zona,2,1,Miradiols,nacional; regiones,sector:empresas_finanzas; sector:medioambiente_permisos; sector:politica_estado; sector:infraestructura_concesiones; sector:mineria_energia; region:Metropolitana; source:normal_scrape; region:Valparaíso,https://www.miradiols.cl/2026/06/13/48-de-posibilidad-de-que-sea-muy-fuerte-confirman-llegada-de-el-nino-a-la-zona
54,C138,9.1,Caso Cugat suma frente en Rancagua: municipio mantiene demanda contra la cadena por millonaria deuda de patentes impagas,2,1,Elurbanorural,biz; regiones,source:normal_scrape; product:regiones; sector:justicia_seguridad; sector:politica_estado; sector:empresas_finanzas; sector:salud_educacion_social; sector:infraestructura_concesiones; sector:tecnologia_telecom,https://elurbanorural.cl/caso-cugat-suma-frente-en-rancagua-municipio-mantiene-demanda-contra-la-cadena-por-millonaria-deuda-de-patentes-impagas
55,C169,9.1,Seremi de Culturas Aysén abre becas para diplomado en la U. Los Lagos - Diario Regional Aysén,1,1,Diarioregionalaysen,regiones,source:normal_scrape; product:regiones; sector:salud_educacion_social; sector:justicia_seguridad; region:Los Ríos; region:Los Lagos; region:Biobío; noise:deportes; educacion,https://www.diarioregionalaysen.cl/noticia/educacion/2026/06/seremi-de-culturas-aysen-abre-becas-para-diplomado-en-la-u-los-lagos
56,C174,9.1,Problemas de infraestructura en Eleam Cristina Calderón preocupan a nueva administración,1,1,Itvpatagonia,regiones,product:regiones; region:Magallanes; source:normal_scrape; sector:salud_educacion_social; sector:infraestructura_concesiones; sector:laboral_gobernanza; sector:mineria_energia; sector:politica_estado; regiones,https://www.itvpatagonia.com/noticias/regional/13-06-2026/problemas-de-infraestructura-en-eleam-cristina-calderon-preocupan-a-nueva-administracion
57,C203,9.1,JULIO PERTUZÉ ASUME LA PRESIDENCIA DE FUNDACIÓN CHILE EN EL AÑO DE SU 50° ANIVERSARIO,2,1,Radiopolar,biz; nacional,sector:laboral_gobernanza; source:normal_scrape; sector:economia_macro; sector:politica_estado; sector:mineria_energia; sector:empresas_finanzas; sector:tecnologia_telecom; sector:justicia_seguridad,https://www.radiopolar.com/julio-pertuze-asume-presidencia-fundacion-chile-ano-50-aniversario
58,C205,9.1,ASOCIACIÓN DE ASEGURADORES DE CHILE Y PNUD FIRMAN ACUERDO PARA FORTALECER LA RESILIENCIA FINANCIERA EN EL PAÍS,2,1,Radiopolar,biz; nacional,product:regiones; source:normal_scrape; region:Metropolitana; sector:politica_estado; sector:empresas_finanzas; sector:salud_educacion_social; sector:justicia_seguridad; noise:deportes,https://www.radiopolar.com/asociacion-aseguradores-chile-pnud-firman-fortalecer-resiliencia-financiera-pais
